symbol,strategy,current_price,strike_price,expiration_date,days_to_expiration,premium_per_share,premium_total,capital_required,return_percentage,volume,open_interest,implied_volatility,pe_ratio,pb_ratio,peg_ratio,ps_ratio,market_cap,dividend_yield,ev_ebitda
ASTS,Cash-Secured Put,49.54,50.0,2025-10-31,31,5.9,590.0,5000.0,11.799999999999999,4.0,115,0.98437515625,-69.77465,14.3096485,,3677.5732,17990688768,,-60.726
NNE,Covered Call,38.375,38.0,2025-10-31,31,3.9,390.0,3837.5,10.162866449511402,54.0,13,0.8466812207031249,-38.375,7.0438695,,,1603892224,,
ASTS,Covered Call,49.54,50.0,2025-10-31,31,5.0,500.0,4954.0,10.092854259184497,41.0,346,0.9086923193359374,-69.77465,14.3096485,,3677.5732,17990688768,,-60.726
NNE,Cash-Secured Put,38.375,38.0,2025-10-31,31,3.8,380.0,3800.0,10.0,20.0,29,0.9194343994140625,-38.375,7.0438695,,,1603892224,,
MARA,Covered Call,18.25,18.0,2025-10-31,31,1.8,180.0,1825.0,9.863013698630137,64.0,4137,0.7949239257812499,8.488372,1.3800665,,8.467901,6760856576,,8.519
RDDT,Cash-Secured Put,230.1,230.0,2025-10-31,31,21.8,2180.0,23000.0,9.478260869565219,35.0,361,0.8200091241455076,102.26667,18.032915,,25.617903,42731839488,,293.507
RDDT,Covered Call,230.1,230.0,2025-10-31,31,20.5,2050.0,23010.0,8.909169926119079,129.0,14,0.7901021966552735,102.26667,18.032915,,25.617903,42731839488,,293.507
MARA,Cash-Secured Put,18.25,18.0,2025-10-31,31,1.59,159.0,1800.0,8.833333333333334,72.0,245,0.8085956640624999,8.488372,1.3800665,,8.467901,6760856576,,8.519
SMCI,Cash-Secured Put,47.63,48.0,2025-10-31,31,4.05,405.0,4800.0,8.4375,5.0,91,0.6938507177734375,28.016882,4.4907317,,1.2882388,28304463872,,20.92
TSLA,Cash-Secured Put,443.83,445.0,2025-10-31,31,32.5,3250.0,44500.0,7.303370786516854,140.0,220,0.6107521835327151,264.1905,18.507984,,15.916759,1475834937344,,122.96
COIN,Covered Call,336.72,335.0,2025-10-31,31,24.2,2420.0,33672.0,7.186980280351627,173.0,197,0.6039468316650394,30.362488,7.139041,,12.074603,80972791808,,41.075
TSLA,Covered Call,443.83,445.0,2025-10-31,31,31.85,3185.0,44383.0,7.176171056485591,480.0,732,0.6199378826904298,264.1905,18.507984,,15.916759,1475834937344,,122.96
MSTR,Covered Call,322.049,320.0,2025-10-31,31,22.7,2270.0,32204.899999999998,7.048616825389925,167.0,128,0.577152666015625,21.400663,1.9059905,,187.16551,86539051008,,15.52
SMCI,Covered Call,47.63,48.0,2025-10-31,31,3.35,335.0,4763.0,7.033382322065925,248.0,464,0.6440465283203125,28.016882,4.4907317,,1.2882388,28304463872,,20.92
COIN,Cash-Secured Put,336.72,335.0,2025-10-31,31,22.95,2295.0,33500.0,6.850746268656717,21.0,39,0.6115151153564455,30.362488,7.139041,,12.074603,80972791808,,41.075
MSTR,Cash-Secured Put,322.049,320.0,2025-10-31,31,20.85,2085.0,32000.0,6.515625,45.0,409,0.5891154370117189,21.400663,1.9059905,,187.16551,86539051008,,15.52
NVO,Covered Call,55.4361,55.0,2025-10-31,31,3.45,345.0,5543.610000000001,6.2233815149334095,1191.0,366,0.5144091528320311,14.141862,1.4656717,,0.77468,241652121600,3.11,2.053
ORCL,Cash-Secured Put,279.4975,280.0,2025-10-31,31,17.0,1700.0,28000.0,6.071428571428571,157.0,837,0.5111132873535156,64.99941,32.874325,,13.500788,796789440512,0.71,36.98
AMD,Covered Call,160.57,160.0,2025-10-31,31,9.2,919.9999999999999,16057.0,5.729588341533287,295.0,2375,0.47949739257812496,95.01183,4.3650947,,8.803379,260580016128,,47.165
MU,Covered Call,165.32,165.0,2025-10-31,31,9.4,940.0,16532.0,5.685942414710864,455.0,1189,0.48163360168457037,20.873737,3.4183865,,4.9498043,185013780480,0.29,10.382
ORCL,Covered Call,279.4975,280.0,2025-10-31,31,15.8,1580.0,27949.75,5.65300226298983,178.0,191,0.4936574072265626,64.99941,32.874325,,13.500788,796789440512,0.71,36.98
NVO,Cash-Secured Put,55.4361,55.0,2025-10-31,31,3.0,300.0,5500.0,5.454545454545454,46.0,1287,0.5046436254882812,14.141862,1.4656717,,0.77468,241652121600,3.11,2.053
MU,Cash-Secured Put,165.32,165.0,2025-10-31,31,8.75,875.0,16500.0,5.303030303030303,96.0,308,0.4672904833984375,20.873737,3.4183865,,4.9498043,185013780480,0.29,10.382
AMD,Cash-Secured Put,160.57,160.0,2025-10-31,31,8.2,819.9999999999999,16000.0,5.124999999999999,198.0,1440,0.45325253784179687,95.01183,4.3650947,,8.803379,260580016128,,47.165
LLY,Covered Call,764.36,765.0,2025-10-31,31,37.95,3795.0000000000005,76436.0,4.964937987335811,60.0,23,0.4350032086181641,49.860405,37.5146,,12.865943,685215711232,0.83,27.799
AVGO,Cash-Secured Put,329.54,330.0,2025-10-31,31,16.0,1600.0,33000.0,4.848484848484849,59.0,262,0.4110166320800781,85.81771,5.5645804,,26.49391,1587674087424,0.71,5.013
NVDA,Covered Call,185.7044,185.0,2025-10-31,31,8.9,890.0,18570.44,4.792562804112342,7074.0,12906,0.3952697192382813,51.868717,45.147095,,27.365938,4520994668544,0.02,44.492
GOOG,Cash-Secured Put,243.265,245.0,2025-10-31,31,11.65,1165.0,24500.0,4.755102040816326,37.0,556,0.37854625366210937,26.270517,8.113431,,8.001512,2971753250816,0.34,20.603
AVGO,Covered Call,329.54,330.0,2025-10-31,31,15.35,1535.0,32954.0,4.658008132548401,99.0,367,0.40582869567871094,85.81771,5.5645804,,26.49391,1587674087424,0.71,5.013
LLY,Cash-Secured Put,764.36,765.0,2025-10-31,31,34.55,3454.9999999999995,76500.0,4.516339869281045,7.0,8,0.39304195831298827,49.860405,37.5146,,12.865943,685215711232,0.83,27.799
AMZN,Covered Call,219.845,220.0,2025-10-31,31,9.3,930.0000000000001,21984.5,4.230253132889081,1666.0,3047,0.36676658630371095,33.209217,7.021334,,3.4992454,2344627470336,,18.201
AMZN,Cash-Secured Put,219.845,220.0,2025-10-31,31,9.15,915.0,22000.0,4.159090909090909,353.0,2216,0.3534000207519531,33.209217,7.021334,,3.4992454,2344627470336,,18.201
NVDA,Cash-Secured Put,185.7044,185.0,2025-10-31,31,7.4,740.0,18500.0,4.0,2771.0,4846,0.3560245062255859,51.868717,45.147095,,27.365938,4520994668544,0.02,44.492
GOOG,Covered Call,243.265,245.0,2025-10-31,31,9.6,960.0,24326.5,3.9463136908309866,298.0,462,0.36926900268554685,26.270517,8.113431,,8.001512,2971753250816,0.34,20.603
MSFT,Covered Call,517.12,515.0,2025-10-31,31,18.3,1830.0,51712.0,3.5388304455445545,257.0,524,0.28745219390869137,37.6361,11.192105,,13.643989,3843838967808,0.71,24.55
AAPL,Covered Call,254.2,255.0,2025-10-31,31,7.7,770.0,25420.0,3.029110936270653,651.0,2887,0.27411614562988285,38.750183,57.36881,,9.269376,3787716820992,0.41,26.974
XOM,Covered Call,112.325,112.0,2025-10-31,31,3.4,340.0,11232.5,3.0269307812152237,53.0,185,0.25171646728515623,16.373905,1.8236058,,1.4900634,491446763520,3.38,8.319
AAPL,Cash-Secured Put,254.2,255.0,2025-10-31,31,7.65,765.0,25500.0,3.0,384.0,1103,0.2459181854248047,38.750183,57.36881,,9.269376,3787716820992,0.41,26.974
MSFT,Cash-Secured Put,517.12,515.0,2025-10-31,31,14.1,1410.0,51500.0,2.737864077669903,115.0,140,0.25333388275146485,37.6361,11.192105,,13.643989,3843838967808,0.71,24.55
XOM,Cash-Secured Put,112.325,112.0,2025-10-31,31,2.45,245.00000000000003,11200.0,2.1875,41.0,82,0.2030108996582031,16.373905,1.8236058,,1.4900634,491446763520,3.38,8.319
